Text	Start Time (s)	duration
towards that b side and if they don't	7129.40	3.799
use the right utility to try to clear it	7131.76	3.6
here 30 seconds	7133.20	5.44
qck can have some easy picks the lurks	7135.36	5.2
or the the rotations have been so late	7138.64	4.321
for the last member of loud this time	7140.56	4.48
it's going to pay off that's well done	7142.96	4.199
here on a positioning from loud because	7145.04	3.88
of that op being posted up on the B side	7147.16	3.201
they could focus on the kitchen on the	7148.92	3.52
rotate down at the under pass even the	7150.36	4.839
op gets the pick	7152.44	5.679
time all them falling down 5 seconds	7155.20	4.721
left actually there is time at this	7158.12	3.761
point when T picks it	7159.92	5.44
up so two versus two the shorty T still	7161.88	4.68
gets the	7165.36	4.16
kill but Les now in a clerk situation	7166.56	5.4
information where T is at the high low T	7169.52	5.84
doesn't even need it oh my gosh how did	7171.96	5.32
that happened for senal to be able to	7175.36	3.96
convert that round when they dropped	7177.28	4.28
that spike in that	7179.32	5.64
kitchen it looks	7181.56	3.4
impossible qck with the shot it gets to	7186.12	4.04
n	7189.00	4.679
the just out of range with the shorty as	7190.16	6.761
well Sentinels they're kind of just	7193.68	4.761
going for it in these moments you know	7196.92	3.44
you have no other choice there to plant	7198.44	3.56
but to make it happen the positioning	7200.36	4.839
counted and loud did not that shorty	7202.00	5.079
kill was it right that that pretty much	7205.20	3.52
solidifies for the rest to come around	7207.08	4.321
and figure out what they need to do want	7208.72	5.36
to go quick a flash over the high tide	7211.40	4.16
and then a disy towards the front an	7214.08	3.321
aggressive push for a Zin almost got	7215.56	3.36
that punish onto two East but there's	7217.40	3.56
the from out the head on up the sa the	7218.92	4.12
spike is down L commen denies also his	7220.96	4.04
KN trying to run away towards yellow	7223.04	3.599
second pushes forward for the two kills	7225.00	3.52
open it up the bide for a bit there's	7226.64	4.121
still one player left it's sedak with	7228.52	4.559
the B pushing for it gets the kill up to	7230.76	5.72
Z who was protecting the spike PL as L	7233.08	6.56
gets a nice shot the rotate from behind	7236.48	5.4
unfortunately there for cine almost had	7239.64	4.08
the opportunity to get the pick it's off	7241.88	4.64
to the sheriff alone upgrading now to	7243.72	6.121
the Phantom Nur now being used	7246.52	5.48
even the turret on the back the orb	7249.84	4.359
comes down John cuti swings on the other	7252.00	5.719
side and sels have tied up the game just	7254.20	6.601
like that three rounds away from being	7257.72	7.561
the kings of Na Kings of Americas will	7260.80	7.919
they be able to make it happen qck on	7265.28	6.72
this yellow has been doing so much work	7268.72	5.241
and then Sentinels are snapping back	7272.00	3.639
quick they're figuring out what the	7273.96	4.159
dangers are in these situations and	7275.64	4.04
acting according	7278.12	5.0
Z Jersey Finest coming up again laying	7279.68	6.721
people down and yeah we are at	7283.12	6.161
101 the big difference is Sentinels have	7286.40	5.759
two maps under their belt here looking	7289.28	3.919
to	7292.16	3.721
finalize this Harbor wall again	7293.20	4.761
connecting just down long B and then	7295.88	5.0
towards viid to slow and delay but	7297.96	5.159
Sentinels is happy to do this rounds	7300.88	4.279
they move fast they are just going fast	7303.12	4.321
off the rip rounds they move slow they	7305.16	4.401
get the read they want	7307.44	3.52
that's right the job's not done here for	7309.56	3.28
Sentinels for loud they're still looking	7310.96	4.04
pretty good lots of money an operator	7312.84	4.279
out once again for qck towards be made a	7315.00	4.119
jump spot from Z but they also have ult	7317.12	4.721
to work with for the retake so senel has	7319.12	4.52
to continue their due diligence here if	7321.84	3.239
they want to try to win this map but	7323.64	4.801
loud has been looking for answers so far	7325.08	5.881
just to try to close out this map I	7328.44	5.56
think that was a Miss zus walks up like	7330.96	7.279
that the swing for Miss does get the	7334.00	7.4
surprise kill on cine with the contact	7338.24	5.721
DIY now being thrown towards the air	7341.40	5.6
flash moving forward second dashing	7343.96	5.639
up and that lock down comes out	7347.00	4.48
prematurely the spray through the	7349.60	4.401
Cascade second Falls Theo though is a	7351.48	3.84
little bit too far behind I don't think	7354.00	2.96
it's going to break it so that rotates	7355.32	3.799
the players back zel is again trying to	7356.96	4.84
go for that lurk but it gets stopped by	7359.12	4.96
qck with the operator it's a reset with	7361.80	4.76
only 24 seconds left SEL have no choice	7364.08	4.241
but to commit towards the a site but	7366.56	3.039
they still have a p to to work with they	7368.32	2.399
have to get in they don't have wingman	7369.60	2.681
to plant here it's going to take	7370.72	3.681
everybody being in sight to cover this	7372.28	4.68
10's again taking that Nest	7374.40	4.799
position John cuti though not looky to	7376.96	3.759
use his pit there you go brings it out	7379.20	3.241
towards the screen breaking line of	7380.72	3.561
sight for the operator knife even thrown	7382.44	4.48
towards the screen spotting three High	7384.28	5.839
tight separating the a site allowing L	7386.92	4.679
to try to swarm out with the four	7390.12	2.881
players they have remaining they have a	7391.60	3.761
Cove to work with for the diffuse as	7393.00	4.719
well tuis is the one that's going to	7395.36	4.04
have to stay alive here to give chances	7397.72	4.88
for loud to fight back this round 21 10	7399.40	5.48
pushing forward within that pit still	7402.60	4.321
working on the other side or loud	7404.88	5.04
outside the DI sassy gets to spray T	7406.92	6.96
inside the TR come out T gets the third	7409.92	7.52
SEL Take the Lead they only need two now	7413.88	6.6
what a wall coming out from John cue	7417.44	5.799
placed perfectly on the left side of a	7420.48	5.4
sight like you said making loud come	7423.24	4.92
through they have to take damage they	7425.88	4.44
have to worry about he goes back to loud	7428.16	4.121
for one Sentinels correct whatever	7430.32	3.799
happens and they hit even harder the	7432.28	4.56
next time it's it just seems Unstoppable	7434.12	4.56
from them right now two rounds away from	7436.84	3.68
solidifying	7438.68	5.761
this and the walls about to	7440.52	6.679
drop back a for loud they're not going	7444.44	4.4
to play too much they'll put Less on	7447.20	4.0
pipes we know that sheriff is always	7448.84	5.16
always good for one but Sentinels	7451.20	4.96
they're all voting down this be long and	7454.00	3.52
they're making their way towards that	7456.16	3.92
yellow again cuz the high tide didn't	7457.52	4.599
come early anymore they just tried to	7460.08	4.08
really push forward for Sentinels	7462.12	3.681
knowing that the harbor is so far away	7464.16	3.761
they try to assist in theay even more	7465.80	3.799
now it's time for sels to activate their	7467.92	4.319
lock down on this attack side to try to	7469.60	6.56
get the plant in pushing away loud back	7472.24	5.561
towards the window the timing out the	7476.16	3.121
flash misses but it still allows for him	7477.80	3.52
to push forward a wall comes up from two	7479.28	3.839
spring through with the help of sedak	7481.32	4.16
dropping t p plant now still activated	7483.12	5.12
though as the plant comes down for senos	7485.48	5.159
and a diff use attempt for loud a tap on	7488.24	3.88
the spike first a swing out towards the	7490.64	3.161
yellow it's a one for one J with the	7492.12	3.641
head shot of the SAU sake bite on the	7493.80	3.64
ground John trying to stay alive pushed	7495.76	4.24
away as well by the enemy snake bite	7497.44	4.88
Cloud burst up jump towards the air	7500.00	4.719
beautifully done here living J with two	7502.32	5.72
kills with twoes is still there for the	7504.72	7.321
trade loud a bright light there with the	7508.04	5.96
individual skill I think something we've	7512.04	3.599
been missing with the individuals being	7514.00	4.0
able to pop off on their own what a	7515.64	5.52
Cascade from twoes to save himself that	7518.00	4.159
was	7521.16	4.721
insane last second thinking to turn the	7522.16	7.321
round right around get sodock the kill	7525.88	5.6
that would save him and you can see what	7529.48	5.0
it means to loud that was a big one	7531.48	4.84
almost being suffocated out of the game	7534.48	3.159
if they weren't able to take that round	7536.32	3.359
on the Low by so yeah the Low by comes	7537.64	3.761
up with a win for loud they get a little	7539.68	4.0
more momentum Reckoning is here to deny	7541.40	5.56
a take and operator in the hands of qck	7543.68	5.4
again they have a bit of extremity	7546.96	3.52
control here this is the first time we	7549.08	3.12
see two no okay he just goes up for the	7550.48	4.119
wall thought he was moving forward loud	7552.20	4.44
and alloud fans continue to show that	7554.60	4.761
they're still here to	7556.64	6.0
fight zelis using a different path and	7559.36	4.92
going through the high tide using his	7562.64	4.401
orb to try to lurk inside the kitchen	7564.28	4.839
Sentinels four players set	7567.04	5.079
up slowly moving up	7569.12	5.761
here towards the a site I mean they did	7572.12	4.44
give their information away the first	7574.88	4.16
dizzy that came out so maybe or control	7576.56	3.921
could be the play we're one away from	7579.04	4.119
getting a thrash out for zasi and	7580.48	5.28
Bladestorm and zelis trying to count on	7583.16	4.44
that one couldn't capitalize on that	7585.76	4.16
pick it's the first time zelus has been	7587.60	3.841
kind of the the spearhead of the	7589.92	3.44
strategy he's always the last to move	7591.44	4.84
giving info a was waiting for zelus to	7593.36	4.759
cause the disruption here loud doing a	7596.28	3.68
great job at holding their positions and	7598.12	4.361
not moving on this one Sentinels cannot	7599.96	4.199
find an opening just yet waiting for	7602.48	3.639
util to make that a possibility so you	7604.16	3.48
see the high tide now being thrown from	7606.12	4.04
the generator already crosshairs are set	7607.64	4.241
towards that right side now or finally	7610.16	3.56
picked up trying to use that thash to	7611.88	3.92
create that space But A rightly comes	7613.72	5.081
out the AIO cues allows to spam through	7615.80	5.2
that wall and get two and it's the same	7618.80	4.08
story once again trying to rotate out	7621.00	3.4
and where they're rotating to and up on	7622.88	4.08
the B side beautiful hold is starting	7624.40	4.4
off for loud he's got cement boots over	7626.96	4.48
here he just does not leave the	7628.80	6.04
sight finds him on the rotation but	7631.44	6.719
Spike down 14 seconds left loud gets the	7634.84	5.96
laps last pick and the last last so far	7638.16	5.681
12 to 11 as they're looking to move this	7640.80	5.16
over to B match	7643.84	4.68
point oh my gosh you know what I want to	7645.96	5.08
see bind I want to see our last map	7648.52	5.84
let's go to Five Sentinels calling the	7651.04	5.199
